package, no_of_commonly_used_methods_or_fields, top
android.app.Activity, 144, 26
android.app.Application, 41, 44
android.content.Context, 133, 13
android.content.DialogInterface, 15, 83
android.content.Intent, 184, 24
android.content.pm.PackageManager, 102, 97
android.content.SharedPreferences, 14, 68
android.graphics.Bitmap, 42, 70
android.graphics.Canvas, 55, 78
android.graphics.Color, 19, 65
android.graphics.drawable.Drawable, 56, 96
android.graphics.Paint, 73, 99
android.net.Uri, 39, 59
android.os.Build, 25, 57
android.os.Bundle, 77, 12
android.os.Handler, 15, 61
android.support.annotation.Nullable, 0, 100
android.support.v7.app.AppCompatActivity, 38, 45
android.util.AttributeSet, 16, 55
android.util.Log, 15, 21
android.view.LayoutInflater, 11, 35
android.view.Menu, 20, 50
android.view.MenuItem, 44, 48
android.view.MotionEvent, 88, 88
android.view.View, 434, 14
android.view.ViewGroup, 137, 29
android.widget.Button, 79, 56
android.widget.EditText, 117, 72
android.widget.ImageView, 121, 54
android.widget.LinearLayout, 106, 81
android.widget.ListView, 145, 84
android.widget.TextView, 217, 22
android.widget.Toast, 12, 38
java.io.BufferedReader, 13, 19
java.io.ByteArrayInputStream, 8, 62
java.io.ByteArrayOutputStream, 9, 42
java.io.File, 54, 6
java.io.FileInputStream, 7, 25
java.io.FileNotFoundException, 8, 33
java.io.FileOutputStream, 5, 27
java.io.FileReader, 5, 76
java.io.FileWriter, 5, 79
java.io.InputStream, 12, 9
java.io.InputStreamReader, 5, 23
java.io.IOException, 14, 3
java.io.OutputStream, 10, 34
java.io.PrintWriter, 11, 64
java.io.Serializable, 5, 32
java.io.StringWriter, 6, 90
java.io.UnsupportedEncodingException, 6, 49
java.lang.annotation.Retention, 1, 74
java.lang.annotation.RetentionPolicy, 7, 82
java.lang.reflect.Field, 38, 60
java.lang.reflect.InvocationTargetException, 6, 67
java.lang.reflect.Method, 36, 43
java.net.HttpURLConnection, 86, 98
java.net.MalformedURLException, 6, 69
java.net.URI, 33, 73
java.net.URL, 28, 20
java.nio.ByteBuffer, 47, 93
java.nio.charset.Charset, 18, 77
java.security.NoSuchAlgorithmException, 6, 85
java.text.ParseException, 8, 87
java.text.SimpleDateFormat, 23, 31
java.util.ArrayList, 34, 2
java.util.Arrays, 20, 8
java.util.Calendar, 84, 58
java.util.Collection, 24, 18
java.util.Collections, 59, 11
java.util.Comparator, 15, 47
java.util.concurrent.ConcurrentHashMap, 41, 91
java.util.concurrent.Executors, 12, 71
java.util.concurrent.ExecutorService, 10, 92
java.util.concurrent.TimeUnit, 26, 37
java.util.Date, 30, 15
java.util.Enumeration, 3, 95
java.util.HashMap, 25, 5
java.util.HashSet, 21, 17
java.util.Iterator, 12, 16
java.util.LinkedHashMap, 21, 75
java.util.LinkedList, 49, 41
java.util.List, 40, 1
java.util.Locale, 54, 39
java.util.logging.Logger, 34, 80
java.util.Map, 34, 4
java.util.Map.Entry, 7, 66
java.util.Properties, 32, 51
java.util.Random, 10, 30
java.util.regex.Matcher, 26, 46
java.util.regex.Pattern, 21, 28
java.util.Set, 23, 10
java.util.UUID, 14, 63
org.json.JSONObject, 44, 89
org.junit.After, 0, 94
org.junit.Assert, 11, 86
org.junit.Before, 0, 36
org.junit.runner.RunWith, 1, 40
org.junit.Test, 3, 7
org.slf4j.Logger, 12, 52
org.slf4j.LoggerFactory, 2, 53
